feature_set,mse,rmse,mae,r2
inca,545753.1405424827,738.7510680482856,468.1132226995142,0.8872195083978449
station,322887.3144090346,568.2317435774198,375.3778033660299,0.9332749784729533
combined,358529.5154334406,598.7733422869129,365.24521909104,0.925909478112626
