Date,Energy_kWh,Source_File,Data_Type
2024-04-04,48.10758,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-05,43.83632,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-06,50.1767,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-07,50.95093,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-08,48.922059999999995,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-09,42.379419999999996,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-10,18.8906,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-11,51.20014,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-12,50.975519999999996,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-13,54.94776,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-14,51.40797,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-15,21.96569,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-16,6.74425,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-17,40.670809999999996,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-18,44.38647,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-19,37.954730000000005,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-20,36.14669,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-21,41.22318,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-22,50.30074,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-23,7.96383,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-24,34.964589999999994,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-25,35.64314,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-04-26,56.19529,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
